probe,roc_auc,average_precision,accuracy,precision,recall,f1,brier_score,positive_prevalence,top_rank_localization,first_flag_localization,clean_chain_false_alarm
Hidden-state (real),0.9875,0.9577454812970194,0.9615384615384616,0.9444444444444444,0.85,0.8947368421052632,0.03864131684778498,0.19230769230769232,1.0,0.85,0.05
Hidden-state (shuffled labels),0.7339285714285714,0.5037474958415408,0.6634615384615384,0.3170731707317073,0.65,0.4262295081967213,0.1509863360022927,0.19230769230769232,0.7,0.6,0.75
Lexical / hop log-probability,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0,0.047504018712167646,0.19230769230769232,1.0,1.0,0.0
